Column1,Column2,Column3,Column4,Column5
70.93,17.31,50.29,63.93,14.97
26.62,45.33,31.18,54.78,71.13
16.01,86.15,20.17,54.86,50.06
73.88,14.59,67.32,13.77,61.62
19.54,98.30,98.34,62.53,21.33
67.43,80.67,30.12,36.31,83.31
79.63,15.26,23.71,41.95,49.29
95.97,48.88,51.91,27.62,19.71
5.43,46.23,91.02,27.61,89.83
47.36,64.21,26.86,9.26,52.72
24.57,76.24,79.11,26.05,74.11
47.30,60.98,62.19,41.56,44.84
94.92,39.83,97.21,82.84,77.51
15.43,62.64,32.59,22.05,48.16
20.56,46.56,2.38,30.36,67.54
49.77,91.50,43.12,39.56,73.94
13.90,70.88,4.28,4.10,84.33
84.58,3.31,13.05,63.80,80.99
12.11,32.69,49.45,86.00,18.93
94.77,52.68,88.79,44.88,85.83
71.61,55.57,38.62,70.56,54.95
38.78,75.70,57.78,26.87,88.84
2.17,63.30,22.80,74.61,78.71
56.85,42.03,34.58,98.49,40.73
81.67,81.30,69.66,77.35,2.92
97.31,44.50,5.44,51.19,1.30
96.50,13.72,99.22,20.01,59.65
91.06,66.94,55.12,48.99,21.35
60.37,18.72,82.69,7.46,39.27
15.38,24.94,80.82,2.70,60.76
52.11,45.42,8.18,35.68,53.87
32.38,73.54,29.68,86.05,67.06
34.89,25.68,78.46,68.53,40.30
31.24,64.87,75.20,53.22,33.89
17.06,65.59,19.99,79.46,86.60
18.76,93.89,80.88,78.45,22.26
63.79,70.20,55.15,39.77,7.24
30.66,60.87,49.86,49.91,28.31
28.39,94.33,58.19,34.61,15.64
49.62,49.47,78.09,42.25,88.15
34.33,41.19,57.97,27.55,97.83
92.15,94.22,58.44,98.10,12.70
33.59,77.94,91.19,19.86,93.85
96.41,95.91,17.93,4.77,50.45
60.89,99.04,54.41,27.26,17.85
55.95,7.03,62.52,2.65,9.94
31.10,11.62,53.25,54.88,61.47
50.42,69.14,92.96,93.76,7.30
87.53,12.82,15.00,12.56,27.84
25.28,26.09,41.44,82.40,55.00
84.62,32.60,95.73,75.62,58.54
99.26,83.88,57.49,10.10,98.34
58.96,49.99,76.24,27.80,46.42
35.86,42.51,4.73,63.55,27.98
56.78,74.79,53.31,43.31,15.25
6.46,88.13,53.46,93.23,90.53
34.30,99.59,66.25,79.54,15.36
61.60,34.20,41.79,75.51,37.08
56.24,18.41,14.00,3.71,70.62
91.92,64.78,23.46,90.12,27.94
93.09,84.25,46.97,33.38,15.84
42.41,14.46,72.23,5.30,59.76
22.89,54.94,31.75,60.46,43.96
76.37,99.38,45.75,9.55,49.63
60.72,88.71,24.73,45.65,69.15
11.77,23.55,96.87,59.39,63.70
29.21,23.86,38.97,31.47,99.11
32.79,50.35,81.10,66.77,14.57
56.94,99.45,71.24,8.13,10.92
62.02,40.52,54.11,22.02,86.08
78.66,96.67,80.54,20.10,83.25
14.06,96.61,90.04,88.67,48.16
76.09,23.01,96.68,41.53,29.77
41.11,6.39,6.69,1.65,92.44
23.12,17.56,54.14,24.56,71.16
9.31,65.14,53.74,84.11,99.27
19.35,40.28,91.06,39.61,39.71
50.40,51.05,8.07,22.10,62.62
44.56,51.65,85.07,76.28,18.19
69.67,91.30,73.78,34.38,21.30
84.01,58.44,30.99,93.55,4.07
45.63,11.47,81.63,69.09,1.49
14.16,1.81,88.72,83.68,80.09
66.58,25.06,28.84,44.82,17.82
19.18,34.18,18.09,20.10,69.52
4.43,8.50,79.49,41.78,30.80
28.28,50.86,62.91,73.64,12.21
11.92,30.74,10.58,8.40,68.11
82.77,94.69,90.57,45.79,45.15
28.95,7.39,5.52,80.53,61.93
63.65,12.01,73.53,82.71,17.90
19.08,52.65,57.46,36.99,82.19
72.94,82.13,99.43,13.30,77.32
64.93,74.17,56.71,13.53,3.42
3.96,48.76,33.83,59.93,78.28
0.89,93.15,22.11,87.10,55.82
97.61,54.25,6.32,55.51,48.86
85.44,88.97,76.26,15.95,27.92
64.63,27.01,9.94,57.67,49.22
45.37,92.14,88.31,14.88,3.25
