film,budget,box_office_us_canada,box_office_other,box_office_worldwide
Toy Story,"30,000,000.00","223,225,679.00","171,210,907.00","394,436,586.00"
A Bug's Life,"120,000,000.00","162,798,565.00","200,460,294.00","363,258,859.00"
Toy Story 2,"90,000,000.00","245,852,179.00","265,506,097.00","511,358,276.00"
"Monsters, Inc.","115,000,000.00","255,873,250.00","272,900,000.00","528,773,250.00"
Finding Nemo,"94,000,000.00","339,714,978.00","531,300,000.00","871,014,978.00"
The Incredibles,"92,000,000.00","261,441,092.00","370,001,000.00","631,442,092.00"
Cars,"120,000,000.00","244,082,982.00","217,900,167.00","461,983,149.00"
Ratatouille,"150,000,000.00","206,445,654.00","417,280,431.00","623,726,085.00"
WALL-E,"180,000,000.00","223,808,164.00","297,503,696.00","521,311,860.00"
Up,"175,000,000.00","293,004,164.00","442,094,918.00","735,099,082.00"
Toy Story 3,"200,000,000.00","415,004,880.00","651,964,823.00","1,066,969,703.00"
Cars 2,"200,000,000.00","191,452,396.00","368,400,000.00","559,852,396.00"
Brave,"185,000,000.00","237,283,207.00","301,700,000.00","538,983,207.00"
Monsters University,"200,000,000.00","268,492,764.00","475,066,843.00","743,559,607.00"
Inside Out,"175,000,000.00","356,461,711.00","501,149,463.00","857,611,174.00"
The Good Dinosaur,"175,000,000.00","123,087,120.00","209,120,551.00","332,207,671.00"
Finding Dory,"200,000,000.00","486,295,561.00","542,275,328.00","1,028,570,889.00"
Cars 3,"175,000,000.00","152,901,115.00","231,029,541.00","383,930,656.00"
Coco,"175,000,000.00","210,460,015.00","604,181,157.00","814,641,172.00"
Incredibles 2,"200,000,000.00","608,581,744.00","634,223,615.00","1,242,805,359.00"
Toy Story 4,"200,000,000.00","434,038,008.00","639,356,585.00","1,073,394,593.00"
Onward,"175,000,000.00","61,555,145.00","80,384,897.00","141,940,042.00"
Soul,"150,000,000.00","946,154.00","120,957,731.00","121,903,885.00"
Luca,NA,"1,324,302.00","49,788,012.00","51,112,314.00"
Turning Red,"175,000,000.00","1,399,001.00","20,414,357.00","21,813,358.00"
Lightyear,"200,000,000.00","118,307,188.00","108,118,232.00","226,425,420.00"
Elemental,"200,000,000.00","154,426,697.00","342,017,611.00","496,444,308.00"
Inside Out 2,"200,000,000.00","652,980,194.00","1,045,050,771.00","1,698,030,965.00"
